dataset_image,split,source_relative_path,source_sha256,annotation_class,class_id,x_min,y_min,x_max,y_max,yolo_x_center,yolo_y_center,yolo_width,yolo_height,decision_source
green__brightness_high__run_01__20260820T145318_578.jpg,train,green/brightness_high/run_01/20260820T145318_578.jpg,38d58fbcb13c83a6929d988c6b7c05afa6f58c6e29b5d7558ad3501c038300d8,green,2,372,180,399,224,0.803125,0.561111,0.056250,0.122222,green_folder
green__brightness_high__run_01__20260820T145319_097.jpg,train,green/brightness_high/run_01/20260820T145319_097.jpg,2d65f1cb97d4cf5466af25c9ecb67c016d110df303eba0189c4a7c7febf48e86,green,2,407,180,441,236,0.883333,0.577778,0.070833,0.155556,green_folder
green__brightness_high__run_01__20260820T145319_617.jpg,train,green/brightness_high/run_01/20260820T145319_617.jpg,37f70e965d4bebc434870cca3a2ff5595765795504ca8ff389709d1a3b7057e7,green,2,414,180,449,238,0.898958,0.580556,0.072917,0.161111,green_folder
green__brightness_high__run_01__20260820T145320_144.jpg,train,green/brightness_high/run_01/20260820T145320_144.jpg,8352f6f179dbd40fd18ecbe8ab17ad1e6b253701227978791d62c80c49a4004e,,,,,,,,,,,no_visible_signal_in_green_folder
green__brightness_high__run_01__20260820T145320_664.jpg,train,green/brightness_high/run_01/20260820T145320_664.jpg,28605995c2a5da7ed906be5b09fad9ba4fcdba92ce04a930e2b902b06274f209,,,,,,,,,,,no_visible_signal_in_green_folder
green__brightness_high__run_02__20260820T145937_165.jpg,train,green/brightness_high/run_02/20260820T145937_165.jpg,c5f9f2deee9336b3aabfd3fe2f7c27f808b656516c62697b7bfca132a9e0f4d9,green,2,288,180,299,199,0.611458,0.526389,0.022917,0.052778,green_folder
green__brightness_high__run_02__20260820T145937_685.jpg,train,green/brightness_high/run_02/20260820T145937_685.jpg,996294987eeef00e76daaa184bf87b14ab6e174110039a911201aea3d8b28537,green,2,288,180,300,199,0.612500,0.526389,0.025000,0.052778,green_folder
green__brightness_high__run_02__20260820T145938_210.jpg,train,green/brightness_high/run_02/20260820T145938_210.jpg,8a463cd9e88072951d5d243b9eb2a4b8d0f4b552b6228bd6fe4a5929138f6869,green,2,288,180,299,199,0.611458,0.526389,0.022917,0.052778,green_folder
green__brightness_high__run_02__20260820T145938_734.jpg,train,green/brightness_high/run_02/20260820T145938_734.jpg,6b626e71dcda355d86e8863e83191ab615a94480c32579bc2b009162b8a6be1e,green,2,294,180,307,201,0.626042,0.529167,0.027083,0.058333,green_folder
green__brightness_high__run_02__20260820T145939_263.jpg,train,green/brightness_high/run_02/20260820T145939_263.jpg,21ebc046718094921bb367b57561e1a738488867a95b1fb95b405bcb2e599db2,green,2,299,180,313,203,0.637500,0.531944,0.029167,0.063889,green_folder
green__brightness_high__run_02__20260820T145939_786.jpg,train,green/brightness_high/run_02/20260820T145939_786.jpg,b9c3de0a1b0ff6a4891370071b8b9be3f7de5793f4b931733de78b77ccce31df,green,2,310,180,324,207,0.660417,0.537500,0.029167,0.075000,green_folder
green__brightness_high__run_02__20260820T145940_313.jpg,train,green/brightness_high/run_02/20260820T145940_313.jpg,03085335d026469b83d2543e6e6fb29d243132c30dac61b7ce9d0c2f192f7587,green,2,323,180,342,212,0.692708,0.544444,0.039583,0.088889,green_folder
green__brightness_high__run_02__20260820T145940_842.jpg,train,green/brightness_high/run_02/20260820T145940_842.jpg,a00c329d79ef2df280ea4ced4032cb29fa0773543e192afbb0de1bae98b2de47,green,2,337,180,358,216,0.723958,0.550000,0.043750,0.100000,green_folder
green__brightness_high__run_02__20260820T145941_368.jpg,train,green/brightness_high/run_02/20260820T145941_368.jpg,44bfe388b0ad2202d3731685622c59c823adbff5fc0e889336edf448ab85af9f,green,2,346,180,370,220,0.745833,0.555556,0.050000,0.111111,green_folder
green__brightness_high__run_02__20260820T145941_897.jpg,train,green/brightness_high/run_02/20260820T145941_897.jpg,36488c4cc937ee80f2a11aadec2c9cd629306ac6be068fc0199b7a9704cba4fe,green,2,371,180,400,229,0.803125,0.568056,0.060417,0.136111,green_folder
green__brightness_high__run_02__20260820T145942_434.jpg,train,green/brightness_high/run_02/20260820T145942_434.jpg,789bd0d805ba47d988a70f4de6fc2241032428d92c021d5947abe9faed18fc97,green,2,435,180,478,253,0.951042,0.601389,0.089583,0.202778,green_folder
green__brightness_high__run_02__20260820T145942_966.jpg,train,green/brightness_high/run_02/20260820T145942_966.jpg,91d155dbe2445866ad9449ec5c062c5ff9645bed9029817c548b8552132e6e47,green,2,440,180,480,254,0.958333,0.602778,0.083333,0.205556,green_folder
green__brightness_high__run_02__20260820T145943_490.jpg,train,green/brightness_high/run_02/20260820T145943_490.jpg,70ca81b25fae45270ff42cc83e83f5821026082d7a29094128a34973565a7cc0,,,,,,,,,,,no_visible_signal_in_green_folder
green__brightness_high__run_02__20260820T145944_012.jpg,train,green/brightness_high/run_02/20260820T145944_012.jpg,97e48de5b9d94f0bb1bee142e3af94555054a4725a6307a8eb5baaaef5616cb4,,,,,,,,,,,no_visible_signal_in_green_folder
green__brightness_high__run_02__20260820T145944_531.jpg,train,green/brightness_high/run_02/20260820T145944_531.jpg,3afa4393e41fa268f5159d4b4486a011f84a1c570d87d0777d22e06327a3c605,green,2,383,180,416,233,0.832292,0.573611,0.068750,0.147222,green_folder
green__brightness_high__run_02__20260820T145945_063.jpg,train,green/brightness_high/run_02/20260820T145945_063.jpg,c330de7b98889b3981f5cdb91deada516ccfbd2887942ebc6606a26b881332f5,green,2,361,180,386,224,0.778125,0.561111,0.052083,0.122222,green_folder
green__brightness_high__run_02__20260820T145945_584.jpg,train,green/brightness_high/run_02/20260820T145945_584.jpg,33bd56a7c25c6e5c20dfe74efa79edbbab6e295161462b7f6a9bc0b3d2341a9d,green,2,347,180,368,215,0.744792,0.548611,0.043750,0.097222,green_folder
green__brightness_high__run_02__20260820T145946_120.jpg,train,green/brightness_high/run_02/20260820T145946_120.jpg,d70738c5104996b4732e0f8a1c761c9c3ca6ce5c5fc584b0e8e99f1c729f7bfa,green,2,341,180,360,213,0.730208,0.545833,0.039583,0.091667,green_folder
green__brightness_high__run_02__20260820T145946_648.jpg,train,green/brightness_high/run_02/20260820T145946_648.jpg,aafe72d65ed6eb7c012ec94c913b5463cbd8ed2ddfd702cb8d1e1326af30a396,green,2,338,180,354,207,0.720833,0.537500,0.033333,0.075000,green_folder
green__brightness_high__run_02__20260820T145947_175.jpg,train,green/brightness_high/run_02/20260820T145947_175.jpg,f235d2937c0b8df5b7e892f901377cc375fab421b1f3ebb0cd080b6b42c5d02a,green,2,332,180,347,205,0.707292,0.534722,0.031250,0.069444,green_folder
green__brightness_high__run_03__20260820T150212_224.jpg,train,green/brightness_high/run_03/20260820T150212_224.jpg,1d6a0cbd1cd36353b1c2611a44dcc6de6d1c932ebdabe19491e6f3f8292fb50b,green,2,287,180,295,193,0.606250,0.518056,0.016667,0.036111,green_folder
green__brightness_high__run_03__20260820T150212_750.jpg,train,green/brightness_high/run_03/20260820T150212_750.jpg,53b9e140086108af5af6edab78630340479d375dbd8f3a9a536af2d4ede690f9,green,2,288,180,297,194,0.609375,0.519444,0.018750,0.038889,green_folder
green__brightness_high__run_03__20260820T150213_276.jpg,train,green/brightness_high/run_03/20260820T150213_276.jpg,be27550b113acc0e202fa690f8a9e1a11a78c9e4a355f2b8efb4b4be78189708,green,2,291,180,301,195,0.616667,0.520833,0.020833,0.041667,green_folder
green__brightness_high__run_03__20260820T150213_805.jpg,train,green/brightness_high/run_03/20260820T150213_805.jpg,c12a474d05a6e477ee7a14d3dd5d6a11abc079adb75107b414e74c4f204b941f,green,2,293,180,302,195,0.619792,0.520833,0.018750,0.041667,green_folder
green__brightness_high__run_03__20260820T150214_320.jpg,train,green/brightness_high/run_03/20260820T150214_320.jpg,efc03900edf05251f92649cb35486e1b97add9322a742b3d4219bcc2dc45c286,green,2,293,180,302,195,0.619792,0.520833,0.018750,0.041667,green_folder
green__brightness_high__run_03__20260820T150214_846.jpg,train,green/brightness_high/run_03/20260820T150214_846.jpg,7d877f36010ea800775859ea6036301e5c807ed3adbcf83e97935aebb4aedbb6,green,2,232,180,242,197,0.493750,0.523611,0.020833,0.047222,green_folder
green__brightness_high__run_03__20260820T150215_363.jpg,train,green/brightness_high/run_03/20260820T150215_363.jpg,629b867c52a23c188c78bd29225a6da949c9ea3aec3b7213bfa3f4a00d5a1cd6,green,2,183,180,193,198,0.391667,0.525000,0.020833,0.050000,green_folder
green__brightness_high__run_03__20260820T150215_898.jpg,train,green/brightness_high/run_03/20260820T150215_898.jpg,14fd584a04833bac85731d90dd33f8019fd84b976dc28389fd39a1e74b3077fd,green,2,183,180,193,198,0.391667,0.525000,0.020833,0.050000,green_folder
green__brightness_high__run_03__20260820T150216_427.jpg,train,green/brightness_high/run_03/20260820T150216_427.jpg,4b7d2e414675f7b2ff74ffa4c5d505419121a242eb5710e197b447445d379dc2,green,2,208,180,218,198,0.443750,0.525000,0.020833,0.050000,green_folder
green__brightness_high__run_03__20260820T150216_954.jpg,train,green/brightness_high/run_03/20260820T150216_954.jpg,9b683820a130d3ce595c4e77d9608cc8581601c7c01f055c747157f9391fd118,green,2,223,180,234,200,0.476042,0.527778,0.022917,0.055556,green_folder
green__brightness_high__run_03__20260820T150217_473.jpg,train,green/brightness_high/run_03/20260820T150217_473.jpg,752ec84d4faae382a8d1b9076dde58916e29a23f3f55dbcf72035dbcd49da0cf,green,2,249,180,262,203,0.532292,0.531944,0.027083,0.063889,green_folder
green__brightness_high__run_03__20260820T150217_993.jpg,train,green/brightness_high/run_03/20260820T150217_993.jpg,dba2d974dd4cd964c27fe529f4af874ea9610264eab49d26e134175559968aec,green,2,324,180,341,209,0.692708,0.540278,0.035417,0.080556,green_folder
green__brightness_high__run_03__20260820T150218_510.jpg,train,green/brightness_high/run_03/20260820T150218_510.jpg,129a8f6a09502faf153ec90bb168269ec48115aa0311b8d424ef458c0e141f8f,green,2,362,180,383,216,0.776042,0.550000,0.043750,0.100000,green_folder
green__brightness_high__run_03__20260820T150219_027.jpg,train,green/brightness_high/run_03/20260820T150219_027.jpg,f62dcfedd7837d723e27536aea322cf0c3f37844c3b9a914e299b65cc2e2a74d,green,2,331,180,357,223,0.716667,0.559722,0.054167,0.119444,green_folder
green__brightness_high__run_03__20260820T150219_552.jpg,train,green/brightness_high/run_03/20260820T150219_552.jpg,35d4c700dbd0868763ff6c8fe78016d4ae1de2f3906861c9a4a5db72ebc5b44b,green,2,366,180,400,238,0.797917,0.580556,0.070833,0.161111,green_folder
green__brightness_high__run_03__20260820T150220_087.jpg,train,green/brightness_high/run_03/20260820T150220_087.jpg,d559566972b1db02a5e80e376132dceff8c61d37b9af46339be1046da6b12864,,,,,,,,,,,no_visible_signal_in_green_folder
green__brightness_high__run_03__20260820T150220_610.jpg,train,green/brightness_high/run_03/20260820T150220_610.jpg,fdb9e3ef979af955f91be9ea9bab739c8ac15410899a0e70d33ad405d2ce49ad,,,,,,,,,,,no_visible_signal_in_green_folder
green__brightness_high__run_03__20260820T150221_142.jpg,train,green/brightness_high/run_03/20260820T150221_142.jpg,34d090fd974d6bce35889bd8ea3237f3ed1c2704f358bcb0afb6a37bf348f520,,,,,,,,,,,no_visible_signal_in_green_folder
green__brightness_high__run_03__20260820T150221_670.jpg,train,green/brightness_high/run_03/20260820T150221_670.jpg,aac0d1fd4bd207cb20e124d26b6e5d5b15f28bead1545818b6df4bd1cf7a9bfb,,,,,,,,,,,no_visible_signal_in_green_folder
green__brightness_high__run_03__20260820T150222_190.jpg,train,green/brightness_high/run_03/20260820T150222_190.jpg,aa863c47d0b00dd7a08297628984d12e3f3a9b11a73dde300b4f8a4b83894ded,,,,,,,,,,,no_visible_signal_in_green_folder
green__brightness_high__run_04__20260820T151244_789.jpg,val,green/brightness_high/run_04/20260820T151244_789.jpg,62e610d525830f0fb2641f903e47292b6c9e23f35e18e0d8229e9d8dd719b948,green,2,319,180,335,208,0.681250,0.538889,0.033333,0.077778,green_folder
green__brightness_high__run_04__20260820T151245_306.jpg,val,green/brightness_high/run_04/20260820T151245_306.jpg,91ac08c943594418132b847e1ac18a7f94f349c401e2460dfec880a740089409,green,2,322,180,339,209,0.688542,0.540278,0.035417,0.080556,green_folder
green__brightness_high__run_04__20260820T151245_832.jpg,val,green/brightness_high/run_04/20260820T151245_832.jpg,a7183a31444fa4a23adaf63d29bde4644ca14a4b24f39e977531afa7b8474bed,green,2,328,180,346,210,0.702083,0.541667,0.037500,0.083333,green_folder
green__brightness_high__run_04__20260820T151246_348.jpg,val,green/brightness_high/run_04/20260820T151246_348.jpg,9977071a1dcc4d34b2c5120bddfbed16615bdf65aa55caca7174d08cad51d0eb,green,2,334,180,352,211,0.714583,0.543056,0.037500,0.086111,green_folder
green__brightness_high__run_04__20260820T151246_868.jpg,val,green/brightness_high/run_04/20260820T151246_868.jpg,e83b7383c76db18876c97dc8d40ac0776f9113be20465db56c1f29ad4ac158c9,green,2,340,180,360,214,0.729167,0.547222,0.041667,0.094444,green_folder
green__brightness_high__run_04__20260820T151247_401.jpg,val,green/brightness_high/run_04/20260820T151247_401.jpg,18dd0ee0f0607b7402a8d05a996fbb268bb41d8fdfd57218822a8148ecb40f32,green,2,347,180,369,216,0.745833,0.550000,0.045833,0.100000,green_folder
green__brightness_high__run_04__20260820T151247_923.jpg,val,green/brightness_high/run_04/20260820T151247_923.jpg,4f1917017128e6a3d8c366e9a9f703ce79c81cb42261e5bc78d544efa6b9fc44,green,2,355,180,378,218,0.763542,0.552778,0.047917,0.105556,green_folder
green__brightness_high__run_04__20260820T151248_447.jpg,val,green/brightness_high/run_04/20260820T151248_447.jpg,02da0733f7d7f24ed4727122156007d842c103ceff7ec6b3726cd953ddc1aaa3,green,2,366,180,391,222,0.788542,0.558333,0.052083,0.116667,green_folder
green__brightness_high__run_04__20260820T151248_965.jpg,val,green/brightness_high/run_04/20260820T151248_965.jpg,3cf0a78d6a83172c1200d9a0f16242fa46ed019d8bfcaac36057904de67384ce,green,2,376,180,404,225,0.812500,0.562500,0.058333,0.125000,green_folder
green__brightness_high__run_04__20260820T151249_495.jpg,val,green/brightness_high/run_04/20260820T151249_495.jpg,cd791cececde205ba176620b927b960e2f92c6e02a4266e6dd6588b962022361,green,2,391,180,422,230,0.846875,0.569444,0.064583,0.138889,green_folder
green__brightness_high__run_04__20260820T151250_015.jpg,val,green/brightness_high/run_04/20260820T151250_015.jpg,645f574ba430f83d44d91339aba6197ac984a4ac9bc5bf8bc6513358784d5753,green,2,408,180,443,236,0.886458,0.577778,0.072917,0.155556,green_folder
green__brightness_high__run_04__20260820T151250_537.jpg,val,green/brightness_high/run_04/20260820T151250_537.jpg,f48abeae0ce093239044f49efa293007d6805e265ec056bc591f01183c71c8f0,green,2,421,180,458,240,0.915625,0.583333,0.077083,0.166667,green_folder
green__brightness_high__run_04__20260820T151251_060.jpg,val,green/brightness_high/run_04/20260820T151251_060.jpg,1b920a4071255b58d11a8d96b4798749512097c3385f05b0fd1006204c3f292d,green,2,446,180,480,248,0.964583,0.594444,0.070833,0.188889,green_folder
green__brightness_high__run_04__20260820T151251_588.jpg,val,green/brightness_high/run_04/20260820T151251_588.jpg,ddfbe689573c8efe0894fa50d5d4cf4387a30264179c686e9ff2e59aa8b877c7,,,,,,,,,,,no_visible_signal_in_green_folder
green__brightness_high__run_04__20260820T151252_116.jpg,val,green/brightness_high/run_04/20260820T151252_116.jpg,cd95c486812f08de160c3fcf6b4230752599b193f90e70103e246433383447c6,,,,,,,,,,,no_visible_signal_in_green_folder
green__brightness_high__run_04__20260820T151252_638.jpg,val,green/brightness_high/run_04/20260820T151252_638.jpg,987f034ccafd0c429a4a54ab77a8ec807f3b07c97fed527a7d82810f4c414eca,,,,,,,,,,,no_visible_signal_in_green_folder
green__brightness_high__run_04__20260820T151253_153.jpg,val,green/brightness_high/run_04/20260820T151253_153.jpg,c8366f08387c69095ec26f4e52c9bd7f4a71783087f2ea32f0aefbdde4554cde,,,,,,,,,,,no_visible_signal_in_green_folder
green__brightness_high__run_04__20260820T151253_672.jpg,val,green/brightness_high/run_04/20260820T151253_672.jpg,a84a6aec47d60a07ab68219543a967c0f46f62ae7157791d27ffddee547932be,,,,,,,,,,,no_visible_signal_in_green_folder
green__brightness_high__run_04__20260820T151254_201.jpg,val,green/brightness_high/run_04/20260820T151254_201.jpg,3d05d6e3255493d7ad0146e0ba3da912b7a134ab9ad5eebd14345ecd2c372151,,,,,,,,,,,no_visible_signal_in_green_folder
green__brightness_high__run_04__20260820T151254_727.jpg,val,green/brightness_high/run_04/20260820T151254_727.jpg,376d086b16dea5c02c4cbd7499f03e249cf857d3c3633386af2cb531bb7ce1e8,,,,,,,,,,,no_visible_signal_in_green_folder
green__brightness_high__run_05__20260820T151346_212.jpg,test,green/brightness_high/run_05/20260820T151346_212.jpg,40085d5a5315aeb70a3e10b71c950deff7c48c8b89f63dba67f5d08b7e5fc6b2,green,2,260,180,276,208,0.558333,0.538889,0.033333,0.077778,green_folder
green__brightness_high__run_05__20260820T151346_729.jpg,test,green/brightness_high/run_05/20260820T151346_729.jpg,fa2c819bd787a59d9b74231e2dea12280b16298793073af888d96e45fb924d2f,green,2,260,180,277,209,0.559375,0.540278,0.035417,0.080556,green_folder
green__brightness_high__run_05__20260820T151347_254.jpg,test,green/brightness_high/run_05/20260820T151347_254.jpg,6fe453a6f03ea6b8ec4099812c9a53809e6f6046cf79253301efa878442fb86c,green,2,261,180,279,211,0.562500,0.543056,0.037500,0.086111,green_folder
green__brightness_high__run_05__20260820T151347_783.jpg,test,green/brightness_high/run_05/20260820T151347_783.jpg,6ad7dc799b80d9e02c9270dd77cb88b283dc96126258d35dbf1c16ba4f8d4f6c,green,2,263,180,281,214,0.566667,0.547222,0.037500,0.094444,green_folder
green__brightness_high__run_05__20260820T151348_317.jpg,test,green/brightness_high/run_05/20260820T151348_317.jpg,a07a06f4d67d3c1137461b72cfdd936dea756991b041eaa4da076939db6e5efe,green,2,264,180,284,216,0.570833,0.550000,0.041667,0.100000,green_folder
green__brightness_high__run_05__20260820T151348_841.jpg,test,green/brightness_high/run_05/20260820T151348_841.jpg,a284cbdf3465d571670fea80dec50e1d93e9cdb268c30ba34a03bdb80394516e,green,2,267,180,288,218,0.578125,0.552778,0.043750,0.105556,green_folder
green__brightness_high__run_05__20260820T151349_365.jpg,test,green/brightness_high/run_05/20260820T151349_365.jpg,979ab7d9f8a25276d9a0c4e7e338fd5aeb36d1f7121ba9f76a39d95b6384dcae,green,2,268,180,290,220,0.581250,0.555556,0.045833,0.111111,green_folder
green__brightness_high__run_05__20260820T151349_884.jpg,test,green/brightness_high/run_05/20260820T151349_884.jpg,38baf96affbc1374eb46eec6abdf500911177d7ef6b27d4f411dc464b3352a90,green,2,270,180,295,224,0.588542,0.561111,0.052083,0.122222,green_folder
green__brightness_high__run_05__20260820T151350_407.jpg,test,green/brightness_high/run_05/20260820T151350_407.jpg,bbc2be47f85b56e5e462dadb60c8092a69c43b82cfe750a2df452d7a78f59af9,green,2,273,180,301,228,0.597917,0.566667,0.058333,0.133333,green_folder
green__brightness_high__run_05__20260820T151350_931.jpg,test,green/brightness_high/run_05/20260820T151350_931.jpg,e6defffff1d62698fb6e3228d3776052e9a7e95a51c87a6d64e2b1078641c26c,green,2,277,180,305,232,0.606250,0.572222,0.058333,0.144444,green_folder
green__brightness_high__run_05__20260820T151351_453.jpg,test,green/brightness_high/run_05/20260820T151351_453.jpg,9505a9ad6ee9725b32b8888eeef835ed200d400e443141cbac0fa8a54b5511a2,green,2,281,180,314,238,0.619792,0.580556,0.068750,0.161111,green_folder
green__brightness_high__run_05__20260820T151351_969.jpg,test,green/brightness_high/run_05/20260820T151351_969.jpg,d8e9784cb2398c947f846d6aff3c6e3048ef712ed866672679b38ffe02b174d4,green,2,286,180,323,245,0.634375,0.590278,0.077083,0.180556,green_folder
green__brightness_high__run_05__20260820T151352_498.jpg,test,green/brightness_high/run_05/20260820T151352_498.jpg,b6703588e894b918e7ce6f43346cb4eb66cca9bf1a8dd58002ae88dc2da82246,green,2,294,180,337,256,0.657292,0.605556,0.089583,0.211111,green_folder
green__brightness_high__run_05__20260820T151353_018.jpg,test,green/brightness_high/run_05/20260820T151353_018.jpg,1e9d9f33e6a9688b6d60d54467f033bdc056466c8029ee84b74b65e9fd258418,green,2,302,180,351,267,0.680208,0.620833,0.102083,0.241667,green_folder
green__brightness_high__run_05__20260820T151353_542.jpg,test,green/brightness_high/run_05/20260820T151353_542.jpg,110cd78cc3b985acc580193e7975faec1e3c244afe308dfa236720f86516b86d,green,2,312,180,371,283,0.711458,0.643056,0.122917,0.286111,green_folder
green__brightness_high__run_05__20260820T151354_067.jpg,test,green/brightness_high/run_05/20260820T151354_067.jpg,33c4f0959d1e1d18798497cc356f8053d48bb96f2f949edb132a5fc189c29dce,green,2,333,180,409,312,0.772917,0.683333,0.158333,0.366667,green_folder
green__brightness_high__run_05__20260820T151354_593.jpg,test,green/brightness_high/run_05/20260820T151354_593.jpg,17324b71a65d4fd48d85872fa19a9bc487b4afab98348b11bb7c98cad498c5c5,green,2,359,180,456,350,0.848958,0.736111,0.202083,0.472222,green_folder
green__brightness_high__run_05__20260820T151355_122.jpg,test,green/brightness_high/run_05/20260820T151355_122.jpg,988ac53c252b605a606afe3116e7367814ffae0ae47fe81d32f72baf8f3258f2,,,,,,,,,,,no_visible_signal_in_green_folder
green__brightness_high__run_05__20260820T151355_646.jpg,test,green/brightness_high/run_05/20260820T151355_646.jpg,3c44982170004201018ea77f66af21df62f4942092572ca5414ffc59650ad8a3,,,,,,,,,,,no_visible_signal_in_green_folder
green__brightness_high__run_05__20260820T151356_169.jpg,test,green/brightness_high/run_05/20260820T151356_169.jpg,323a1db5172969ccab726033390f548fa46b48cf4349658f272d45f4c4c8e8b8,,,,,,,,,,,no_visible_signal_in_green_folder
green__brightness_high__transition_run_01__frame_000_20260820T153958_748.jpg,train,green/brightness_high/transition_run_01/frame_000_20260820T153958_748.jpg,cfa5c5d51ac5ae4aac20be54d1fd95db4af56b35cff12665a422c032c98ee5d4,green,2,301,180,313,201,0.639583,0.529167,0.025000,0.058333,green_folder
green__brightness_high__transition_run_01__frame_001_20260820T153958_875.jpg,train,green/brightness_high/transition_run_01/frame_001_20260820T153958_875.jpg,364515f5a7e6b494a691a30e441a08b864cb24ffbfecfe7c58d2535cff33a0c5,green,2,301,180,314,201,0.640625,0.529167,0.027083,0.058333,green_folder
green__brightness_high__transition_run_01__frame_002_20260820T153958_994.jpg,train,green/brightness_high/transition_run_01/frame_002_20260820T153958_994.jpg,016210c485c0fd1f99b3efaae179f414edaa842301d246f42174280cfafe8edb,green,2,302,180,314,201,0.641667,0.529167,0.025000,0.058333,green_folder
green__brightness_high__transition_run_01__frame_003_20260820T153959_113.jpg,train,green/brightness_high/transition_run_01/frame_003_20260820T153959_113.jpg,da4621f6bef7730b580ec5cdc3260fff2674e24768c13e860b618ea71a8fb38d,green,2,301,180,314,201,0.640625,0.529167,0.027083,0.058333,green_folder
green__brightness_high__transition_run_01__frame_004_20260820T153959_248.jpg,train,green/brightness_high/transition_run_01/frame_004_20260820T153959_248.jpg,3333c1a2109759fb17ad50869d0fe5f4a87ca42346750f6e01b106588e4d5ed0,green,2,302,180,315,201,0.642708,0.529167,0.027083,0.058333,green_folder
green__brightness_high__transition_run_01__frame_005_20260820T153959_373.jpg,train,green/brightness_high/transition_run_01/frame_005_20260820T153959_373.jpg,a8ae06e4f99ceb16ef61be3ffc44dfb1931765ead10e10ab407fc682c0cccf1b,green,2,303,180,315,202,0.643750,0.530556,0.025000,0.061111,green_folder
